(0, 283),(47, 282),(124, 883),(63, 889)
(44, 252),(121, 246),(193, 881),(122, 889)
(121, 240),(195, 237),(268, 888),(193, 896)
(205, 287),(244, 283),(308, 885),(269, 887)
(246, 289),(295, 285),(357, 885),(309, 886)
(303, 301),(328, 299),(389, 882),(360, 885)
(326, 256),(390, 252),(450, 890),(391, 895)
(411, 298),(490, 295),(533, 892),(455, 903)
(502, 295),(530, 293),(579, 911),(546, 908)
(538, 260),(564, 255),(615, 911),(581, 907)
(572, 327),(628, 331),(670, 910),(616, 910)
(648, 235),(690, 233),(716, 787),(664, 795)
